date,belem,carateua,co_arapiranga,combu,cotijuba,da-barra,da-cintra,das-oncas,grande,jutuba,mirim,mosqueiro,murucutu,paqueta,sao-pedro
2019-03-04,3.9264068168559206e-05,3.871736676519938e-05,3.622977348968626e-05,3.661999056028028e-05,3.104671369159992e-05,3.489968573747499e-05,3.834418890240552e-05,3.520385618764096e-05,3.4741579656339575e-05,3.3384209574039754e-05,3.905315976721343e-05,3.577961357217614e-05,3.49620781368414e-05,3.255050696865544e-05,3.868339482339651e-05
2019-03-05,4.218876093696108e-05,3.2382736186622333e-05,4.770981897224062e-05,3.191120525305728e-05,4.2388388806632304e-05,3.757273588452914e-05,3.056491914321668e-05,3.2905086316659574e-05,3.308478969429198e-05,3.776466318911808e-05,3.6198585673273735e-05,3.374054701762604e-05,3.537693620249875e-05,3.883855213255897e-05,3.267596010441167e-05
2019-03-06,3.727295981893566e-05,3.4002078894236824e-05,3.4692277825299244e-05,3.98734095885286e-05,3.593777229440586e-05,3.6695140246746474e-05,3.9873080822872e-05,3.5134981719515616e-05,4.032632211499959e-05,3.870969158015214e-05,3.725080589749273e-05,3.309681914605792e-05,3.993134674852963e-05,3.870814659245915e-05,3.220769610296715e-05
2019-03-07,3.432406327348117e-05,2.967471647858151e-05,3.4889528878099184e-05,3.039102193011812e-05,3.5854969604419045e-05,3.736782808782899e-05,2.8943526270424243e-05,3.148677276950853e-05,3.173084041890127e-05,3.198228296241723e-05,3.7941920263599436e-05,3.17831810337142e-05,3.0870994237262155e-05,3.203937117717674e-05,2.893768720843311e-05
2019-03-08,3.881426757997493e-05,3.244101065026613e-05,2.9465481130089762e-05,3.467256454130128e-05,3.525504117298539e-05,2.526875636770461e-05,3.5869853650223404e-05,3.373946482179101e-05,3.5788087047756404e-05,3.5034657587518086e-05,3.4359354562465014e-05,3.707997595684881e-05,3.409524114796218e-05,3.4883108367839575e-05,2.460554327686099e-05
2019-03-09,2.955591458160502e-05,3.816812450765918e-05,3.148911679632792e-05,2.964473749781923e-05,3.185273142540923e-05,3.096951331826858e-05,2.829527810346404e-05,3.314614556418057e-05,2.81399803852969e-05,3.111325094885728e-05,2.989127224575413e-05,3.295988141768943e-05,2.7653859579577162e-05,3.10823493488189e-05,3.8763128806506444e-05
2019-03-10,3.546841464762466e-05,3.6178059839253695e-05,3.852615236278925e-05,2.717295192877128e-05,3.3176637503937574e-05,3.8138597390021165e-05,3.351386557762084e-05,3.083446927261621e-05,2.5451164277940993e-05,3.850517873974748e-05,3.812793898824703e-05,3.368843218461395e-05,2.4209844159097362e-05,3.3591354962058455e-05,3.2386404664389716e-05
2019-03-11,3.0072805963078143e-05,3.897329269637e-06,3.1287190655772705e-05,3.4339920783215914e-05,3.640488775854523e-05,3.193376323906705e-05,3.895414156172936e-05,3.1989820281675614e-05,3.3919755404491264e-05,2.4830469612235e-05,2.2431035083786312e-05,3.425609873002176e-05,3.428675063028288e-05,2.2742248671246772e-05,2.540984314691741e-05
2019-03-12,3.338895134720279e-05,1.5951511267443397e-05,3.559078664550118e-05,3.7298094898412636e-05,3.650751912237781e-05,3.759458167459996e-05,4.023278317201092e-05,3.506259994701887e-05,3.269469187115966e-05,3.076516412236428e-05,3.0145094523356627e-05,3.334989832106456e-05,3.2836775771766374e-05,2.9958033292641962e-05,2.8997955269005615e-05
2019-03-13,3.670509673132743e-05,2.8005693265249793e-05,3.989438263522966e-05,4.025626901360936e-05,3.6610150486210383e-05,4.325540011013287e-05,4.151142478229248e-05,3.813537961236212e-05,3.146962833782805e-05,3.669985863249356e-05,3.785915396292694e-05,3.244369791210735e-05,3.138680091324987e-05,3.717381791403715e-05,3.258606739109382e-05
